"Year","DOY","Species","Respiration..mg.CO2.g.1.hr.1.","Temperature.C","Tissue.N..mg.g."
2011,153,"Betnan",1.78148561836042,14.14,31.279
2011,153,"Betnan",0.92082713892607,14.82,25.546
2011,153,"Betnan",1.81783723651799,13.5,33.606
2011,153,"Betnan",0.688387994661696,13.05,29.391
2011,153,"Betnan",0.786654053359487,11.2,31.891
2011,153,"Betnan",1.3673252306502,12.41,29.889
2011,153,"Betnan",0.985342736647176,10.96,34.35
2011,153,"Betnan",1.04678299849851,10,33.083
2011,158,"Betnan",1.19298998526316,20.65,28.53
2011,158,"Betnan",2.64866360717412,19.87,25.95
2011,158,"Betnan",2.45778823693294,21.25,19.74
2011,158,"Betnan",3.30636812587525,21.46,26.75
2011,158,"Betnan",3.6898474544206,21.38,26.4
2011,158,"Betnan",2.8162216276552,19.47,27.13
2011,158,"Betnan",2.23870868952043,22.66,22.72
2011,167,"Betnan",0.871059497908679,11,24.72
2011,167,"Betnan",0.831765603481728,11.6,23.43
2011,167,"Betnan",0.742492850123947,16.14,18.47
2011,167,"Betnan",0.600309361827814,18.41,22.71
2011,167,"Betnan",2.68957859676596,20.75,24.9
2011,167,"Betnan",1.80329208912257,19.28,24.69
2011,167,"Betnan",1.59691270091139,19.38,28.98
2011,174,"Betnan",1.3479897165283,17.62,27.6
2011,174,"Betnan",0.824289366526316,15.93,18.74
2011,174,"Betnan",1.44280216431974,16.41,21.56
2011,174,"Betnan",1.27967233568799,18.98,22.71
2011,174,"Betnan",1.30930058576166,19.09,20.86
2011,174,"Betnan",1.14537256,18.57,19.23
2011,183,"Betnan",0.57852659979661,15.33,21.569
2011,183,"Betnan",0.842632389072626,17.62,17.951
2011,183,"Betnan",1.42532330591549,17.39,18.878
2011,183,"Betnan",1.20025657085714,18,21.503
2011,183,"Betnan",0.775504429454545,14.62,20.531
2011,183,"Betnan",0.576930030734177,13.38,18.708
2011,183,"Betnan",0.527063169230769,12.4,24.341
2011,183,"Betnan",0.414567848536313,12.74,18.116
2011,192,"Betnan",0.398771974680412,16.14,18.36
2011,192,"Betnan",1.09722527016967,19.6,15.56
2011,192,"Betnan",0.788556228301413,18.67,18.76
2011,192,"Betnan",0.548865478951076,17.01,17.46
2011,192,"Betnan",0.555138049915331,15.88,18.03
2011,192,"Betnan",0.564745493882353,15.12,23.66
2011,192,"Betnan",0.748190600270378,15.87,17.57
2011,192,"Betnan",0.94334184,15.85,17.34
2011,201,"Betnan",0.950708210490566,21.42,18.2
2011,201,"Betnan",0.890364508687099,20.67,17.74
2011,201,"Betnan",1.04913739360182,21.18,22.31
2011,201,"Betnan",1.13748728389837,22.59,18.71
2011,201,"Betnan",1.26168341948936,21.94,24.82
2011,201,"Betnan",0.966506969448195,21.09,21.91
2011,201,"Betnan",1.11558041582911,22.89,17.73
2011,201,"Betnan",1.30312687579056,23.49,22.36
2011,214,"Betnan",0.609155511692308,13.52,17.59
2011,214,"Betnan",0.328180735790507,13.34,17.68
2011,214,"Betnan",0.354890237734513,13.44,21.01
2011,214,"Betnan",0.518839174908189,12.5,19.3
2011,214,"Betnan",0.504410006371524,12.69,17.74
2011,214,"Betnan",0.212061549064748,10.68,19.65
2011,224,"Betnan",0.801729443936207,17.83,16.927
2011,224,"Betnan",0.801330142999305,19.89,18.404
2011,224,"Betnan",0.818304330059715,20.69,15.432
2011,224,"Betnan",0.556179745034123,19.58,16.475
2011,224,"Betnan",0.905677689565217,18.8,17.455
2011,224,"Betnan",0.81923473037037,19.84,14.922
2011,224,"Betnan",0.777299776350877,17.52,12.216
2011,167,"Carbig",1.34808510638298,11.46,29.35
2011,167,"Carbig",1.90795483061481,11.06,34.46
2011,167,"Carbig",1.80384341637011,13,33.47
2011,167,"Carbig",2.15144312393888,15.16,32.46
2011,167,"Carbig",2.01142857142857,19.81,32.59
2011,167,"Carbig",2.71542857142857,20.35,30.65
2011,167,"Carbig",3.55434146341463,19.65,32.88
2011,167,"Carbig",2.78943396226415,22.31,31.26
2011,174,"Carbig",1.81028571428571,16.75,26.579
2011,174,"Carbig",1.29969230769231,15.8,26.962
2011,174,"Carbig",1.96770186335404,16.08,31.74
2011,174,"Carbig",1.41023847376789,15.96,30.04
2011,174,"Carbig",1.9008,17.82,32.49
2011,174,"Carbig",4.38646153846154,19.11,33.67
2011,174,"Carbig",1.93959183673469,18.73,28.87
2011,174,"Carbig",2.35673819742489,20.46,29.59
2011,182,"Carbig",0.347178082191781,7.81,25.542
2011,183,"Carbig",1.50857142857143,18.29,25.638
2011,183,"Carbig",3.34732075471698,18.2,32.516
2011,183,"Carbig",0.804571428571428,14.4,23.388
2011,183,"Carbig",0.914474226804124,12.87,26.006
2011,183,"Carbig",0.487384615384615,12.48,23.923
2011,192,"Carbig",2.15300970873786,16.26,24.59
2011,192,"Carbig",1.41802644964395,19.44,26.49
2011,192,"Carbig",1.26,18.78,16.27
2011,192,"Carbig",1.65897280966767,17.67,27.73
2011,192,"Carbig",1.13142857142857,16.82,22.34
2011,192,"Carbig",1.35892761394102,15.43,27.83
2011,192,"Carbig",1.30415094339623,15.77,20.24
2011,201,"Carbig",1.56720848056537,21.83,24.41
2011,201,"Carbig",2.112,21.59,22.19
2011,201,"Carbig",2.21206982543641,20.61,22.17
2011,201,"Carbig",2.1873417721519,21.76,23.94
2011,201,"Carbig",0.763373493975903,22.17,20.37
2011,201,"Carbig",2.11729323308271,23.07,23.61
2011,201,"Carbig",1.37291440953413,20.55,23.48
2011,201,"Carbig",2.10542056074766,24.7,26.6
2011,207,"Carbig",2.12083682008368,22.13,22.93
2011,207,"Carbig",1.26931552587646,20.83,15.83
2011,207,"Carbig",1.53178021978022,19.47,24.45
2011,207,"Carbig",1.88081632653061,18.72,25.98
2011,207,"Carbig",1.8536170212766,19.23,25.37
2011,207,"Carbig",2.0916643741403,21.23,26.38
2011,207,"Carbig",1.72018099547511,19.15,23.16
2011,207,"Carbig",1.91612903225806,19.66,23.18
2011,214,"Carbig",0.875138121546961,14,20.43
2011,214,"Carbig",1.22273684210526,13.22,20.28
2011,214,"Carbig",1.19097744360902,13.88,18.13
2011,214,"Carbig",1.30471042471042,12.75,15.54
2011,214,"Carbig",0.895547703180212,12.66,19.08
2011,214,"Carbig",0.903299389002037,12.34,21.44
2011,214,"Carbig",0.522772277227723,11.13,18.41
2011,224,"Carbig",0.984506104328524,16.97,16.91
2011,224,"Carbig",1.51513043478261,18.02,20.114
2011,224,"Carbig",1.34259168704156,20.3,22.732
2011,224,"Carbig",1.36441453566622,19.64,17.617
2011,224,"Carbig",1.8951146560319,19.11,16.658
2011,224,"Carbig",1.71421436004162,19.86,17.18
2011,224,"Carbig",1.53100371747212,19.48,16.293
2011,224,"Carbig",1.36421052631579,16.71,17.085
2011,153,"Erivag",0.788713692946058,15.42,14.83
2011,153,"Erivag",1.16256880733945,13.77,18.621
2011,153,"Erivag",2.304,13.59,22.262
2011,153,"Erivag",1.89134328358209,12.15,16.127
2011,153,"Erivag",0.873931034482758,12.12,20.666
2011,153,"Erivag",1.59396226415094,12.32,18.278
2011,153,"Erivag",0.590769230769231,8.73,19.54
2011,153,"Erivag",0.153414043583535,9.37,21.801
2011,158,"Erivag",2.62632124352332,20.6,21.18
2011,158,"Erivag",2.61406679764244,19.13,28.78
2011,158,"Erivag",2.41371428571429,21.05,22.36
2011,158,"Erivag",2.25423125794155,22.71,21.28
2011,158,"Erivag",1.10995620437956,20.3,24.07
2011,158,"Erivag",2.10375,19.96,19.35
2011,158,"Erivag",1.41674534161491,21.83,22.79
2011,158,"Erivag",1.96881355932203,19.86,27.08
2011,167,"Erivag",1.44822857142857,11.22,28.04
2011,167,"Erivag",0.725496183206107,11.3,19.7
2011,167,"Erivag",1.14851963746224,13.48,26.82
2011,167,"Erivag",2.43024657534247,15.7,23.18
2011,167,"Erivag",1.47594009983361,20.13,18.76
2011,167,"Erivag",2.70769230769231,20.37,22.54
2011,167,"Erivag",2.54222222222222,20.58,22.47
2011,167,"Erivag",3.14701986754967,20.03,21.74
2011,174,"Erivag",1.00571428571429,17.02,22.58
2011,174,"Erivag",2.60086659064994,15.99,28.11
2011,174,"Erivag",2.00084210526316,15.8,23.72
2011,174,"Erivag",1.70220895522388,15.68,26.4
